Distance (km),Fuel Type,Duration (min),Base Fare (₹),Traffic Conditions,Weather,Time of Day,Day,Demand/Supply Ratio,Surge Multiplier,Traffic/Delay (min),Driver Availability,Fuel Price (₹/km),Final Price (₹)
39,Diesel,45,50,Heavy,Stormy,Off-peak,Tue,1.261445144604505,1.0130376454060848,8,High,3.2,338.38564777743795
29,Petrol,51,50,Heavy,Clear,Off-peak,Fri,2.19619452460491,1.216951583045573,11,High,4.5,755.0271289587951
15,Petrol,18,50,Heavy,Snowy,Peak,Tue,2.888761392026846,1.5535459841167691,13,Low,4.5,688.8809317570232
43,CNG,23,50,Heavy,Stormy,Peak,Thu,1.4307317466559024,1.7340124759501276,11,Medium,2.8,536.8682095422541
8,Diesel,32,50,Light,Stormy,Peak,Fri,1.2586253439847397,1.8157166574428385,14,Low,3.2,319.0288575563729
21,CNG,28,50,Moderate,Rainy,Peak,Thu,2.0705707755596583,1.1354259660010215,10,Low,2.8,387.44147483259337
39,Diesel,54,50,Moderate,Snowy,Peak,Sun,1.3621547028975745,1.8557514910034305,0,Low,3.2,714.8676715847251
19,EV,45,50,Light,Clear,Peak,Mon,2.0832776483098523,1.6989682807412314,5,Medium,1.0,562.7682004684444
23,EV,37,50,Heavy,Clear,Peak,Mon,2.0089074103633644,1.289846346386834,4,Low,1.0,380.9037368725334
11,Diesel,16,50,Moderate,Rainy,Off-peak,Tue,1.0388214016292658,1.0083760331874765,2,Medium,3.2,122.76964920815834
11,EV,14,50,Moderate,Stormy,Peak,Mon,2.9286852667566663,1.9132572698463408,7,Medium,1.0,498.69622561655154
24,EV,11,50,Moderate,Snowy,Peak,Sun,1.4028142511834008,1.1982041948191653,14,Medium,1.0,161.36236035072548
36,Diesel,50,50,Heavy,Rainy,Off-peak,Sun,2.7896742694273673,1.3645322069693697,15,Low,3.2,1009.5104227881757
40,Petrol,5,50,Moderate,Clear,Off-peak,Fri,1.7661587958709595,1.8501278380351303,4,Low,4.5,784.2286931115522
24,CNG,19,50,Light,Stormy,Off-peak,Tue,1.3167521454648612,1.663267580971079,10,Medium,2.8,339.90525136864693
3,Diesel,58,50,Moderate,Stormy,Off-peak,Thu,1.2135689533846274,1.132554693352793,11,Medium,3.2,241.3504723543422
22,Diesel,5,50,Moderate,Snowy,Off-peak,Wed,2.0213598983286483,1.9793025543404776,12,Low,3.2,521.7151184244306
2,Diesel,49,50,Light,Snowy,Off-peak,Mon,1.72369507968822,1.3193967088151872,6,Low,3.2,351.14228777785837
24,CNG,24,50,Heavy,Snowy,Off-peak,Fri,2.835015021422046,1.5947665404695515,9,Low,2.8,746.9001085718324
44,Diesel,59,50,Moderate,Rainy,Peak,Thu,1.402882989606345,1.6281318072072444,10,Low,3.2,705.3234152215033
30,CNG,6,50,Heavy,Clear,Off-peak,Wed,2.4472906557551273,1.5676483042032392,11,High,2.8,560.127692772496
38,CNG,7,50,Heavy,Snowy,Peak,Tue,1.3715818938824926,1.5794716914743319,3,Low,2.8,369.15026147701565
2,EV,40,50,Heavy,Rainy,Off-peak,Fri,2.743412535426784,1.2426066691648128,8,Low,1.0,449.98571808850045
21,Petrol,20,50,Moderate,Rainy,Peak,Wed,2.020911228789883,1.9599902789063348,13,Medium,4.5,730.7982939662725
33,EV,58,50,Moderate,Snowy,Off-peak,Fri,2.66240563691837,1.4875996559767515,11,Medium,1.0,788.1581482005159
12,Diesel,33,50,Light,Rainy,Off-peak,Thu,1.875023154372758,1.140335497527942,9,Low,3.2,330.13120327383007
22,Diesel,48,50,Heavy,Clear,Peak,Sun,1.3505001137711545,1.8495322858649847,15,High,3.2,540.522526921556
44,CNG,40,50,Light,Snowy,Peak,Thu,2.078661037799714,1.1471217668427536,0,Low,2.8,603.7496580185134
25,EV,58,50,Moderate,Rainy,Peak,Mon,1.5450997810763196,1.8625111782716952,12,Medium,1.0,549.6532322357607
49,CNG,48,50,Moderate,Rainy,Off-peak,Thu,1.3692409300398132,1.5601415655702744,11,Medium,2.8,604.9745837082122
27,EV,43,50,Light,Snowy,Off-peak,Tue,2.807563780603992,1.0439046205348212,7,Low,1.0,477.7250948920511
42,EV,56,50,Light,Rainy,Off-peak,Tue,2.1028821530111514,1.1227031935658274,10,High,1.0,481.6261518111533
28,EV,58,50,Heavy,Clear,Off-peak,Sun,2.6006243804682647,1.9435166069119587,13,Low,1.0,980.545194325358
16,EV,7,50,Moderate,Rainy,Off-peak,Fri,2.551939763929589,1.1279396409118239,12,Medium,1.0,230.2747216764276
15,EV,41,50,Heavy,Stormy,Peak,Tue,1.002151507999042,1.58671341581935,8,High,1.0,233.74870463657388
47,Petrol,48,50,Heavy,Clear,Peak,Thu,2.771745891834584,1.3138776433853419,6,Medium,4.5,1301.9202483525187
44,Diesel,16,50,Moderate,Snowy,Off-peak,Wed,2.5467271163622485,1.7972627226006386,10,Medium,3.2,1019.7862819827469
3,EV,24,50,Moderate,Snowy,Off-peak,Tue,1.5374964658003611,1.7943438766739965,13,Low,1.0,278.63853425049564
37,EV,27,50,Heavy,Rainy,Off-peak,Thu,1.4586692091344184,1.7974040873539785,12,Low,1.0,369.67633780197946
7,CNG,26,50,Light,Stormy,Peak,Sat,1.1136543809291428,1.2075576600820015,5,Low,2.8,163.52790841038365
21,Diesel,36,50,Moderate,Clear,Peak,Thu,1.184996272178349,1.711180888454492,5,Low,3.2,383.64897065079435
9,Diesel,11,50,Heavy,Rainy,Peak,Fri,1.3891417774839292,1.0913204154085903,14,Low,3.2,152.81267719185104
39,Diesel,26,50,Light,Clear,Peak,Fri,1.0069551260459104,1.0766127720413783,5,Low,3.2,245.8740500032841
18,EV,48,50,Heavy,Snowy,Peak,Tue,1.6316611843664004,1.4088747660167442,0,Low,1.0,377.0042281722218
4,CNG,6,50,Moderate,Snowy,Peak,Tue,2.8444662196776207,1.5972670492683743,15,Medium,2.8,332.5748425107966
25,Diesel,18,50,Light,Stormy,Off-peak,Thu,2.1104846703100506,1.3131296621075101,15,High,3.2,460.0424436532146
14,CNG,59,50,Light,Snowy,Peak,Tue,2.1612040133870805,1.305305629897361,11,Low,2.8,584.5177819216083
50,Petrol,20,50,Light,Stormy,Peak,Sat,1.4736133455642693,1.07482559941865,8,Medium,4.5,498.92136444909295
9,Petrol,28,50,Moderate,Snowy,Off-peak,Wed,1.4502419682324723,1.195990876126496,2,High,4.5,254.10075775962906
26,CNG,11,50,Moderate,Clear,Off-peak,Sun,1.7346103864396303,1.6101427784600566,2,High,2.8,404.42211206186545
2,EV,8,50,Heavy,Clear,Peak,Sat,1.524340894729822,1.6811375867606442,0,High,1.0,174.2586205753325
20,Diesel,56,50,Heavy,Rainy,Off-peak,Mon,2.716807157701438,1.907536716263142,2,Medium,3.2,1171.2245253767724
28,Petrol,41,50,Moderate,Rainy,Peak,Mon,1.3549416113309094,1.374766306474369,2,Low,4.5,480.58384322043867
47,Petrol,50,50,Heavy,Rainy,Off-peak,Thu,2.349728704040805,1.236454081062619,9,High,4.5,1050.2773898486955
7,CNG,45,50,Light,Rainy,Peak,Sun,1.9792353446130924,1.7192381116918198,2,Low,2.8,543.0831831000248
44,EV,9,50,Moderate,Rainy,Off-peak,Sat,2.3544711906639515,1.6734119895753348,7,Medium,1.0,441.28003579147827
8,CNG,6,50,Moderate,Rainy,Off-peak,Mon,2.6693932313355555,1.275322389691678,14,Medium,2.8,287.3260389862722
47,CNG,9,50,Heavy,Stormy,Off-peak,Thu,1.682731559358213,1.7688451570528367,11,Medium,2.8,594.1077172503923
35,CNG,7,50,Moderate,Stormy,Peak,Thu,2.081459436016645,1.20089498453917,0,Medium,2.8,404.9374999519273
14,CNG,46,50,Light,Snowy,Peak,Sat,1.9977940579713964,1.3478534164001017,6,High,2.8,487.9233185896632
17,CNG,12,50,Moderate,Stormy,Peak,Sun,1.7464910224994248,1.2452135264892543,15,High,2.8,264.45011620517323
36,EV,30,50,Light,Clear,Off-peak,Wed,2.623892192192053,1.6493936574444719,11,Medium,1.0,631.863346384468
50,CNG,14,50,Moderate,Stormy,Peak,Fri,1.0205210304660772,1.4917012500517746,9,Medium,2.8,331.8641243133812
40,EV,38,50,Moderate,Rainy,Off-peak,Tue,1.620214907119629,1.7339613381398356,14,High,1.0,466.3587413982614
4,Diesel,50,50,Moderate,Stormy,Off-peak,Wed,2.664200748377702,1.1075455042102438,14,Medium,3.2,480.3777957599886
2,Diesel,40,50,Heavy,Clear,Off-peak,Fri,2.7442409690748653,1.2567406974854403,0,High,3.2,470.41622582170163
6,Diesel,57,50,Heavy,Snowy,Peak,Thu,2.387332730913317,1.485105805996616,8,High,3.2,649.5249193530027
42,Diesel,16,50,Light,Stormy,Peak,Sat,1.6815499955261408,1.0567447902421196,5,Low,3.2,384.53613429656593
4,Petrol,24,50,Heavy,Clear,Peak,Sat,2.64464883053932,1.7312718387125874,15,Low,4.5,531.1183010572407
29,EV,33,50,Moderate,Stormy,Peak,Wed,1.1680976961631926,1.282043048226075,12,High,1.0,217.14497199716268
18,Diesel,18,50,Heavy,Snowy,Peak,Thu,1.5307893191854334,1.603789685220995,1,Medium,3.2,352.54720768313126
26,Petrol,52,50,Heavy,Stormy,Off-peak,Mon,1.1849905261329667,1.901367004621907,3,Low,4.5,610.5906114254485
44,EV,9,50,Light,Clear,Off-peak,Sat,1.2206384987406123,1.2532305965277915,14,Medium,1.0,171.33104955920635
34,Petrol,52,50,Moderate,Snowy,Peak,Thu,2.1860878144347398,1.7467720321305213,10,High,4.5,1172.3092955890338
10,Petrol,31,50,Light,Snowy,Peak,Mon,1.1441918704402867,1.633481444364244,7,Low,4.5,293.4355416975902
36,CNG,8,50,Heavy,Snowy,Off-peak,Thu,2.3596665141994366,1.1796814964069684,11,Low,2.8,464.3136414053
14,Petrol,33,50,Moderate,Snowy,Peak,Sat,1.697666938391785,1.7335495317268823,8,Medium,4.5,526.7951609678347
31,Petrol,7,50,Light,Rainy,Peak,Thu,1.1114076065585898,1.061263261176776,3,High,4.5,240.02744842022452
48,EV,37,50,Light,Rainy,Peak,Sat,1.5712139763901645,1.5188499449908068,12,Medium,1.0,410.467380996746
15,Petrol,34,50,Moderate,Stormy,Off-peak,Sat,1.79859673685117,1.1188729550853638,15,Low,4.5,373.3004311269826
8,CNG,40,50,Light,Stormy,Peak,Fri,1.7331159239327532,1.6864956938870532,15,High,2.8,445.44882351047767
14,Diesel,13,50,Light,Snowy,Peak,Thu,2.02025965827637,1.304146367327108,14,Low,3.2,318.27348676335487
23,Diesel,5,50,Light,Clear,Peak,Thu,2.005572571400693,1.8058823109478146,12,Medium,3.2,483.8762248099552
40,EV,52,50,Heavy,Clear,Peak,Thu,1.7192371333591376,1.4894994306535256,8,Medium,1.0,496.795729871586
21,EV,27,50,Light,Rainy,Peak,Sun,2.7984421070354237,1.0805286978882922,15,Low,1.0,377.9746257538444
16,Petrol,7,50,Heavy,Clear,Peak,Tue,1.4400313223637393,1.5980027797094505,10,Medium,4.5,312.95967161680665
45,EV,36,50,Light,Snowy,Peak,Sun,1.6805724811993807,1.0130351348517705,5,High,1.0,284.3139880100382
18,Petrol,28,50,Light,Stormy,Peak,Tue,2.1073289576649397,1.2938143846242491,6,High,4.5,509.85410097111725
47,EV,10,50,Light,Stormy,Off-peak,Wed,1.4905384838776523,1.268908491643829,2,High,1.0,221.28876189976975
24,Diesel,17,50,Light,Snowy,Off-peak,Fri,1.3004559597862464,1.9805370013469394,1,High,3.2,414.1566644341924
26,Diesel,53,50,Moderate,Clear,Off-peak,Sat,1.012645483613133,1.24384230073083,2,Medium,3.2,301.2894521283607
25,Diesel,19,50,Heavy,Rainy,Off-peak,Tue,2.8905988819688795,1.6767191111117816,0,Low,3.2,814.2493611765357
45,Diesel,57,50,Moderate,Rainy,Off-peak,Wed,2.5684171809066787,1.2571395526759088,8,High,3.2,994.4885183741634
41,Petrol,34,50,Moderate,Stormy,Peak,Wed,2.7777052659311297,1.079474769747578,12,High,4.5,907.0349825912114
29,Petrol,16,50,Moderate,Clear,Peak,Wed,1.0804509219524356,1.0628638147344178,11,Medium,4.5,244.02909006468295
15,Petrol,44,50,Moderate,Rainy,Off-peak,Fri,1.1467869279570218,1.9261448127172427,12,Low,4.5,453.9243658244419
45,Diesel,52,50,Light,Clear,Peak,Sat,2.103968572797975,1.0965546809824067,4,High,3.2,687.5207429681649
1,CNG,39,50,Light,Clear,Off-peak,Mon,1.0463024194724018,1.8314313536016873,9,Medium,2.8,250.64302217333483
25,Diesel,32,50,Moderate,Rainy,Off-peak,Fri,1.5427990546553163,1.543571100672741,3,High,3.2,461.9954867727672
7,Diesel,8,50,Moderate,Stormy,Off-peak,Wed,2.945250873868395,1.4320679422000384,11,Medium,3.2,372.85346326519624
9,CNG,11,50,Heavy,Clear,Peak,Sun,1.7149130484208885,1.9970065899868308,15,High,2.8,332.88012645002937
24,CNG,51,50,Moderate,Rainy,Peak,Sat,2.958796658926094,1.8910205787928618,0,Low,2.8,1226.4558652120236
1,EV,47,50,Light,Snowy,Peak,Thu,1.2370391424740512,1.2386530234184199,3,Low,1.0,222.1780297172999
44,Diesel,20,50,Heavy,Snowy,Peak,Sat,1.7702320282438377,1.5989221304589556,11,High,3.2,653.2708987142576
8,CNG,26,50,Moderate,Stormy,Off-peak,Sat,1.0116182562049822,1.158012997895134,10,Low,2.8,145.73050594541638
24,EV,50,50,Heavy,Rainy,Peak,Wed,2.18303455888445,1.597612507438372,11,Low,1.0,606.8499368872571
11,CNG,59,50,Moderate,Clear,Off-peak,Sun,1.6835083845477865,1.1258830027137154,10,Low,2.8,376.81217484756957
17,CNG,49,50,Heavy,Snowy,Peak,Thu,2.007960121903313,1.6273054743267397,15,Medium,2.8,639.1356159267564
8,EV,45,50,Heavy,Clear,Off-peak,Fri,2.5894376027328727,1.9725951107219697,4,Medium,1.0,755.9709692912314
35,Diesel,29,50,Light,Snowy,Off-peak,Sat,2.1023724074397,1.581703552017257,3,High,3.2,731.5725789922981
35,EV,54,50,Heavy,Rainy,Off-peak,Mon,2.330544945651244,1.125656410014153,11,High,1.0,506.31482138139296
33,Diesel,7,50,Moderate,Clear,Off-peak,Tue,1.9443865922567871,1.7998061027832901,0,Medium,3.2,593.5183977933755
5,CNG,56,50,Heavy,Stormy,Off-peak,Sat,2.495805663084981,1.3321675586503452,9,Low,2.8,585.170315322142
42,EV,26,50,Moderate,Rainy,Peak,Tue,2.2050146723196073,1.0939649202562873,0,High,1.0,347.358052824201
39,Petrol,35,50,Moderate,Clear,Off-peak,Mon,2.731689995566879,1.6557277281873244,7,Low,4.5,1336.5272542244732
41,CNG,41,50,Light,Snowy,Peak,Thu,2.511781500348473,1.8305690825970564,1,Medium,2.8,1134.7838226126037
28,EV,26,50,Heavy,Rainy,Peak,Thu,1.464085397931395,1.4827619944696846,8,Low,1.0,282.2157240123906
7,CNG,31,50,Light,Stormy,Peak,Mon,2.0489611224159723,1.9316312436973777,14,High,2.8,520.85139146728
9,EV,60,50,Moderate,Snowy,Off-peak,Mon,2.7499025629920224,1.6823843700853993,4,Low,1.0,828.124363331165
8,Diesel,6,50,Heavy,Clear,Peak,Sun,2.717799320619622,1.6251625316174512,5,Low,3.2,386.9174286909903
12,Petrol,26,50,Heavy,Clear,Peak,Wed,1.9542718965707884,1.3536707318389227,4,Medium,4.5,412.6887442771421
34,CNG,57,50,Moderate,Rainy,Off-peak,Fri,1.6275583171363484,1.3120559873526205,11,Medium,2.8,553.5080269309068
33,Petrol,21,50,Light,Stormy,Off-peak,Wed,1.4212587485834773,1.2829255104206672,10,High,4.5,438.52026986464426
48,Diesel,52,50,Light,Snowy,Off-peak,Wed,1.3886970836363144,1.9581547289128693,0,Medium,3.2,836.4516849912476
23,EV,60,50,Heavy,Rainy,Peak,Fri,1.2876789668305948,1.650459048660171,6,Medium,1.0,410.1754506969625
24,Petrol,24,50,Light,Stormy,Peak,Tue,2.999258313274927,1.5941621193318911,12,High,4.5,984.9486217575151
37,EV,28,50,Heavy,Snowy,Off-peak,Sun,2.3251890906509463,1.3203377756501726,9,Medium,1.0,439.01500384400487
35,Diesel,49,50,Light,Stormy,Off-peak,Fri,1.6291530872062376,1.3537753774323202,1,Medium,3.2,573.43190723719
44,CNG,35,50,Moderate,Stormy,Off-peak,Tue,1.5865198525432072,1.2790784186330997,9,High,2.8,493.52169956222326
40,Diesel,56,50,Moderate,Snowy,Peak,Sun,1.6109233419509164,1.156676843369643,11,Medium,3.2,540.362140562696
22,Petrol,47,50,Moderate,Clear,Peak,Fri,2.744939917085655,1.9199641206159015,12,High,4.5,1280.6552354343553
27,Petrol,12,50,Heavy,Clear,Peak,Tue,2.026381982389482,1.5823770568970033,10,Medium,4.5,626.8708198800251
35,Petrol,57,50,Heavy,Stormy,Off-peak,Sun,1.5429806367339611,1.7332264095025625,10,Low,4.5,859.7986346436896
1,EV,9,50,Moderate,Stormy,Peak,Thu,2.5968223229073146,1.475174789164782,6,Medium,1.0,264.3229107658306
35,CNG,6,50,Moderate,Rainy,Peak,Thu,2.500454893371873,1.0569568344499198,12,Low,2.8,422.8596622053035
37,Petrol,8,50,Light,Clear,Off-peak,Fri,1.93520331568462,1.4699233602875448,13,High,4.5,661.3696303466459
47,Petrol,39,50,Moderate,Clear,Peak,Mon,2.3775082518297337,1.0423077308558897,12,Medium,4.5,841.313330943445
14,Petrol,38,50,Moderate,Stormy,Peak,Sun,2.4762915475862832,1.9462477775241198,5,Low,4.5,910.8811380674063
3,Diesel,7,50,Moderate,Rainy,Peak,Thu,1.0990580953664746,1.3428524800517947,11,Low,3.2,108.624244636573
1,Petrol,52,50,Heavy,Rainy,Peak,Fri,2.7510556599705818,1.1539890365378258,0,Low,4.5,503.18805917605437
5,Diesel,24,50,Heavy,Rainy,Off-peak,Sat,1.5739735830388244,1.2270052971555208,1,Medium,3.2,220.16522733275013
26,Petrol,13,50,Moderate,Snowy,Off-peak,Fri,2.9622073249756364,1.9112266579109134,6,Medium,4.5,1092.6597739102158
14,Diesel,10,50,Light,Snowy,Off-peak,Sun,2.8164161184711243,1.207217872747969,15,Low,3.2,390.32320008602454
39,EV,51,50,Light,Snowy,Off-peak,Thu,1.0385929192226462,1.1330206283975703,11,Medium,1.0,224.75871557949975
27,EV,9,50,Moderate,Rainy,Peak,Sat,2.2418620495889776,1.617312901370071,4,Medium,1.0,344.45027950975935
9,Diesel,45,50,Heavy,Clear,Off-peak,Fri,2.9302319287192415,1.094181359089185,15,Low,3.2,541.2074300310774
15,CNG,60,50,Moderate,Snowy,Off-peak,Mon,2.129941923337502,1.4720340913126,4,High,2.8,664.6935902177711
15,CNG,42,50,Light,Stormy,Off-peak,Sat,2.2312633083128333,1.6784517825116056,11,High,2.8,659.1319463679134
26,Diesel,39,50,Heavy,Stormy,Off-peak,Tue,2.8619608191975723,1.1402933424938761,15,Medium,3.2,689.2458922502866
42,EV,59,50,Heavy,Stormy,Peak,Sun,2.145522730371802,1.7790322235218845,2,Low,1.0,801.5603554623192
13,Diesel,35,50,Heavy,Clear,Peak,Fri,1.4887859350370931,1.428760970885532,14,Medium,3.2,343.74246885826636
